term,estimate,std.error,statistic,p.value,b,df,dfcom,fmi,lambda,m,riv,ubar,model,type
historical_hba1c_group7-9,0.28389626545520796,0.026019014810380867,10.911107416024883,0,0,12955.518265212248,12959,1.543386334044915e-4,0,10,0,6.769891317028189e-4,Main,unadjusted
historical_hba1c_group>=9,0.6832401817251933,0.02673332493719442,25.557620809620747,0,0,12955.518265212248,12959,1.543386334044915e-4,0,10,0,7.14670662197621e-4,Main,unadjusted
historical_hba1c_groupUnavailable,0.4367352893441952,0.029140996180091628,14.986971846987215,0,0,12955.518265212248,12959,1.543386334044915e-4,0,10,0,8.491976583681149e-4,Main,unadjusted
raceethNHBlack,0.18642704406942162,0.02148547413965858,8.676887596597581,0,0,12955.518265212248,12959,1.543386334044915e-4,0,10,0,4.6162559900593764e-4,Main,unadjusted
raceethHispanic,0.15077918675340551,0.028387731363267988,5.311420797383784,1.1057333870745367e-7,0,12955.518265212248,12959,1.543386334044915e-4,0,10,0,8.05863291953069e-4,Main,unadjusted
raceethNHOther,0.048628829271026554,0.0320372017386375,1.5178862894376703,0.12906746705325345,0,12955.518265212248,12959,1.543386334044915e-4,0,10,0,0.0010263822952421577,Main,unadjusted
regionUrban,0.03867119289330341,0.0365214783372086,1.0588616522104104,0.28968253203156324,0,12955.518265212248,12959,1.543386334044915e-4,0,10,0,0.0013338183799351969,Main,unadjusted
historical_hba1c_group7-9,0.19041864577356968,0.02638208863030204,7.217724435769574,5.582201367815287e-13,1.3880824845112332e-7,12876.288258074595,12882,3.7463026814689107e-4,2.1937625042230585e-4,10,2.1942438692155994e-4,6.95861911423816e-4,Main,adjusted
historical_hba1c_group>=9,0.49991101378849423,0.028160164171008313,17.75241830099722,0,1.0815868788855884e-6,12819.442121096798,12882,0.0016560619321212867,0.0015003194189321287,10,0.0015025737595219175,7.91805100571366e-4,Main,adjusted
historical_hba1c_groupUnavailable,0.34139716749639937,0.030532822679263723,11.18131694153054,0,4.983235107772766e-7,12866.06499941863,12882,7.433103520275532e-4,5.879902864658852e-4,10,5.883362224498618e-4,9.317051049015062e-4,Main,adjusted
raceethNHBlack,0.1769398622870037,0.02480211452840778,7.134063593019087,1.02873265461767e-12,2.7856312242698167e-6,12378.471439828438,12882,0.005141983379021617,0.004981256320284646,10,0.005006193453063285,6.120806907335594e-4,Main,adjusted
raceethHispanic,0.20288340025093796,0.03171451165736747,6.397178756615253,1.6378565170782622e-10,1.6621797691017028e-6,12796.181751614593,12882,0.0019738116009772964,0.0018178356669364903,10,0.0018211462114744146,0.0010039818519192853,Main,adjusted
raceethNHOther,0.11155799252851889,0.033562238646670343,3.3239139290723796,8.901188377721247e-4,1.1056448779997963e-6,12844.687562470393,12882,0.0012352104112481397,0.0010797084523640212,10,0.001080875482758709,0.0011252076536102528,Main,adjusted
regionUrban,0.06718702246448388,0.037653064532060694,1.784370629574539,0.0743870011457266,3.6571242822965936e-7,12874.86274874629,12882,4.3900851268694277e-4,2.837473063519126e-4,10,2.838278417374733e-4,0.0014173509849844746,Main,adjusted
SviOverallPctlRankByZip2020_X,0.033384402658162365,0.036061264312485755,0.9257690570378432,0.35458589583863365,1.1548231350214951e-5,11234.920704808914,12882,0.009944693986821235,0.009768463603566674,10,0.009864827815033277,0.0012877117293297222,Main,adjusted
historical_bp_group,0.09812632178420469,0.01147387681263527,8.552150540447318,0,1.2944890360999853e-7,12844.587811569718,12882,0.0012371128753268894,0.00108161000511567,10,0.0010827811520430705,1.3150745531755831e-4,Main,adjusted
age,-0.0022258479971036427,8.476649396244057e-4,-2.6258582761366775,0.008653927303237552,4.055743278289461e-9,12134.714630139537,12882,0.006372653101280708,0.006208900511971956,10,0.006247691808842522,7.140745322623289e-7,Main,adjusted
female,0.01770740372370492,0.018173028829709163,0.9743782332396324,0.3298874511143506,1.042024970708562e-6,12618.525328832662,12882,0.003628602333469795,0.003470692844530452,10,0.0034827805059113887,3.29112749377661e-4,Main,adjusted
